Rnd,Pick #,Owner,Player Name,PLAYERS DRAFTED:,192,,Pick #,Owner,Player
1,1,Eric,"Chris Johnson, RB, TEN",,,,10,Andy,"Andre Johnson, WR, HOU"
1,2,Howe,"Adrian Peterson, RB, MIN",,,,15,Andy,"Shonn Greene, RB, NYJ"
1,3,Pete,"Maurice Jones-Drew, RB, JAC",,,,34,Andy,"Jonathan Stewart, RB, CAR"
1,4,Jeffro,"Ray Rice, RB, BAL",,,,39,Andy,"Marques Colston, WR, NO"
1,5,Brad,"Frank Gore, RB, SF",,,,58,Andy,"Eli Manning, QB, NYG"
1,6,Vinny,"Michael Turner, RB, ATL",,,,63,Andy,"Vernon Davis, TE, SF"
1,7,Yurcy,"Aaron Rodgers, QB, GB",,,,82,Andy,"Darrren McFadden, RB, OAK"
1,8,Ryan,"Drew Brees, QB, NO",,,,87,Andy,"Darren Sproles, RB, SD"
1,9,Leif,"Steven Jackson, RB, STL",,,,106,Andy,"Kenny Britt, WR, TEN"
1,10,Andy,"Andre Johnson, WR, HOU",,,,111,Andy,"Philadelphia Eagles, D, PHI"
1,11,Drew,"Peyton Manning, QB, IND",,,,130,Andy,"Nate Kaeding, K, SD"
1,12,Rob,"DeAngelo Williams, RB, CAR",,,,135,Andy,"Chad Henne, QB, MIA"
2,13,Rob,"Ryan Grant, RB, GB",,,,154,Andy,"New Orleans Saints, D, NO"
2,14,Drew,"Rashard Mendenhall, RB, PIT",,,,159,Andy,"Heath Miller, TE, PIT"
2,15,Andy,"Shonn Greene, RB, NYJ",,,,178,Andy,"Matt Prater, K, ATL"
2,16,Leif,"Cedric Benson, RB, CIN",,,,183,Andy,"Willis McGahee, RB, BAL"
2,17,Ryan,"Pierre Thomas, RB, NO",,,,5,Brad,"Frank Gore, RB, SF"
2,18,Yurcy,"Randy Moss, WR, NE",,,,20,Brad,"Ryan Mathews, RB, SD"
2,19,Vinny,"Reggie Wayne, WR, IND",,,,29,Brad,"Greg Jennings, WR, GB"
2,20,Brad,"Ryan Mathews, RB, SD",,,,44,Brad,"Steve Smith, WR, CAR"
2,21,Jeffro,"Larry Fitzgerald, WR, ARI",,,,53,Brad,"Ahmad Bradshaw, RB, NYG"
2,22,Pete,"Roddy White, WR, ATL",,,,68,Brad,"Jason Witten, TE, DAL"
2,23,Howe,"Brandon Marshall, WR, MIA",,,,77,Brad,"Kevin Kolb, QB, PHI"
2,24,Eric,"Knowshon Moreno, RB, DEN",,,,92,Brad,"Bernard Berrian, WR, MIN"
3,25,Eric,"Miles Austin, WR, DAL",,,,101,Brad,"Jeremy Maclin, WR, PHI"
3,26,Howe,"Beanie Wells, RB, ARI",,,,116,Brad,"Tim Hightower, RB, ARI"
3,27,Pete,"Calvin Johnson, WR, DET",,,,125,Brad,"Mark Sanchez, QB, NYJ"
3,28,Jeffro,"Tom Brady, QB, NE",,,,140,Brad,"Mike Bell, RB, PHI"
3,29,Brad,"Greg Jennings, WR, GB",,,,149,Brad,"Miami Dolphins, D, MIA"
3,30,Vinny,"Jamaal Charles, RB, KC",,,,164,Brad,"Devin Hester, WR, CHI"
3,31,Yurcy,"LeSean McCoy, RB, PHI",,,,173,Brad,"Louis Murphy, WR, OAK"
3,32,Ryan,"Anquan Boldin, WR, BAL",,,,188,Brad,"Nick Folk, K, NYJ"
3,33,Leif,"Tony Romo, QB, DAL",,,,11,Drew,"Peyton Manning, QB, IND"
3,34,Andy,"Jonathan Stewart, RB, CAR",,,,14,Drew,"Rashard Mendenhall, RB, PIT"
3,35,Drew,"Matt Forte, RB, CHI",,,,35,Drew,"Matt Forte, RB, CHI"
3,36,Rob,"DeSean Jackson, WR, PHI",,,,38,Drew,"Ronnie Brown, RB, MIA"
4,37,Rob,"Matt Schaub, QB, HOU",,,,59,Drew,"Dwayne Bowe, WR, KC"
4,38,Drew,"Ronnie Brown, RB, MIA",,,,62,Drew,"Jermichael Finley, TE, GB"
4,39,Andy,"Marques Colston, WR, NO",,,,83,Drew,"Marion Barber, RB, DAL"
4,40,Leif,"Joseph Addai, RB, IND",,,,86,Drew,"Steve Breaston, WR, ARI"
4,41,Ryan,"Brandon Jacobs, RB, NYG",,,,107,Drew,"Ben Roethlisberger, QB, PIT"
4,42,Yurcy,"Sidney Rice, WR, MIN",,,,110,Drew,"Eddie Royal, WR, DEN"
4,43,Vinny,"Jahvid Best, RB, DET",,,,131,Drew,"Chicago Bears, D, CHI"
4,44,Brad,"Steve Smith, WR, CAR",,,,134,Drew,"Santonio Holmes, WR, NYJ"
4,45,Jeffro,"Dallas Clark, TE, IND",,,,155,Drew,"Devery Henderson, WR, NO"
4,46,Pete,"Philip Rivers, QB, SD",,,,158,Drew,"David Akers, K, PHI"
4,47,Howe,"Antonio Gates, TE, SD",,,,179,Drew,"Tashard Choice, RB, DAL"
4,48,Eric,"Chad Ochocinco, WR, CIN",,,,182,Drew,"Toby Gerhart, RB, MIN"
5,49,Eric,"Brett Favre, QB, MIN",,,,1,Eric,"Chris Johnson, RB, TEN"
5,50,Howe,"Felix Jones, RB, DAL",,,,24,Eric,"Knowshon Moreno, RB, DEN"
5,51,Pete,"Jerome Harrison, RB, CLE",,,,25,Eric,"Miles Austin, WR, DAL"
5,52,Jeffro,"Ricky Williams, RB, MIA",,,,48,Eric,"Chad Ochocinco, WR, CIN"
5,53,Brad,"Ahmad Bradshaw, RB, NYG",,,,49,Eric,"Brett Favre, QB, MIN"
5,54,Vinny,"Steve Smith, WR, NYG",,,,72,Eric,"Brent Celek, TE, PHI"
5,55,Yurcy,"Arian Foster, RB, HOU",,,,73,Eric,"Reggie Bush, RB, NO"
5,56,Ryan,"Carnell Williams, RB, TB",,,,96,Eric,"Donovan McNabb, QB, WAS"
5,57,Leif,"Hines Ward, WR, PIT",,,,97,Eric,"Montario Hardesty, RB, CLE"
5,58,Andy,"Eli Manning, QB, NYG",,,,120,Eric,"Devin Aromashodu, WR, CHI"
5,59,Drew,"Dwayne Bowe, WR, KC",,,,121,Eric,"Green Bay Packers, D, GB"
5,60,Rob,"Michael Crabtree, WR, SF",,,,144,Eric,"Correll Buckhalter, RB, DEN"
6,61,Rob,"Wes Welker, WR, NE",,,,145,Eric,"Stephen Gostkowski, K, NE"
6,62,Drew,"Jermichael Finley, TE, GB",,,,168,Eric,"Mario Manningham, WR, NYG"
6,63,Andy,"Vernon Davis, TE, SF",,,,169,Eric,"Mohamed Massaquoi, WR, CLE"
6,64,Leif,"Pierre Garcon, WR, IND",,,,192,Eric,"David Garrard, QB, JAC"
6,65,Ryan,"Tony Gonzalez, TE, ATL",,,,2,Howe,"Adrian Peterson, RB, MIN"
6,66,Yurcy,"Mike Sims-Walker, WR, JAC",,,,23,Howe,"Brandon Marshall, WR, MIA"
6,67,Vinny,"Justin Forsett, RB, SEA",,,,26,Howe,"Beanie Wells, RB, ARI"
6,68,Brad,"Jason Witten, TE, DAL",,,,47,Howe,"Antonio Gates, TE, SD"
6,69,Jeffro,"C.J. Spiller, RB, BUF",,,,50,Howe,"Felix Jones, RB, DAL"
6,70,Pete,"Clinton Portis, RB, WAS",,,,71,Howe,"Vincent Jackson, WR, SD"
6,71,Howe,"Vincent Jackson, WR, SD",,,,74,Howe,"Hakeem Nicks, WR, NYG"
6,72,Eric,"Brent Celek, TE, PHI",,,,95,Howe,"Jay Cutler, QB, CHI"
7,73,Eric,"Reggie Bush, RB, NO",,,,98,Howe,"Terrell Owens, WR, CIN"
7,74,Howe,"Hakeem Nicks, WR, NYG",,,,119,Howe,"Steve Slaton, RB, HOU"
7,75,Pete,"Malcolm Floyd, WR, SD",,,,122,Howe,"Chester Taylor, RB, CHI"
7,76,Jeffro,"Donald Driver, WR, GB",,,,143,Howe,"Cincinnati Bengals, D, CIN"
7,77,Brad,"Kevin Kolb, QB, PHI",,,,146,Howe,"Legedu Naanee, WR, SD"
7,78,Vinny,"Joe Flacco, QB, BAL",,,,167,Howe,"Cleveland Browns, D, CLE"
7,79,Yurcy,"Mike Wallace, WR, PIT",,,,170,Howe,"Kyle Orton, QB, DEN"
7,80,Ryan,"Lee Evans, WR, BUF",,,,191,Howe,"Sebastian Janikowski, K, OAK"
7,81,Leif,"Percy Harvin, WR, MIN",,,,4,Jeffro,"Ray Rice, RB, BAL"
7,82,Andy,"Darrren McFadden, RB, OAK",,,,21,Jeffro,"Larry Fitzgerald, WR, ARI"
7,83,Drew,"Marion Barber, RB, DAL",,,,28,Jeffro,"Tom Brady, QB, NE"
7,84,Rob,"Owen Daniels, TE, HOU",,,,45,Jeffro,"Dallas Clark, TE, IND"
8,85,Rob,"Santana Moss, WR, WAS",,,,52,Jeffro,"Ricky Williams, RB, MIA"
8,86,Drew,"Steve Breaston, WR, ARI",,,,69,Jeffro,"C.J. Spiller, RB, BUF"
8,87,Andy,"Darren Sproles, RB, SD",,,,76,Jeffro,"Donald Driver, WR, GB"
8,88,Leif,"Robert Meachem, WR, NO",,,,93,Jeffro,"Thomas Jones, RB, KC"
8,89,Ryan,"Matt Ryan, QB, ATL",,,,100,Jeffro,"LaDainian Tomlinson, RB, NYJ"
8,90,Yurcy,"Donald Brown, RB, IND",,,,117,Jeffro,"Braylon Edwards, WR, NYJ"
8,91,Vinny,"Michael Bush, RB, OAK",,,,124,Jeffro,"Vince Young, QB, TEN"
8,92,Brad,"Bernard Berrian, WR, MIN",,,,141,Jeffro,"Pittsburgh Steelers, D, PIT"
8,93,Jeffro,"Thomas Jones, RB, KC",,,,148,Jeffro,"Derrick Mason, WR, BAL"
8,94,Pete,"New York Jets, D, NYJ",,,,165,Jeffro,"Adam Vinatieri, K, IND"
8,95,Howe,"Jay Cutler, QB, CHI",,,,172,Jeffro,"Indianapolis Colts, D, IND"
8,96,Eric,"Donovan McNabb, QB, WAS",,,,189,Jeffro,"Austin Collie, WR, IND"
9,97,Eric,"Montario Hardesty, RB, CLE",,,,9,Leif,"Steven Jackson, RB, STL"
9,98,Howe,"Terrell Owens, WR, CIN",,,,16,Leif,"Cedric Benson, RB, CIN"
9,99,Pete,"Johnny Knox, WR, CHI",,,,33,Leif,"Tony Romo, QB, DAL"
9,100,Jeffro,"LaDainian Tomlinson, RB, NYJ",,,,40,Leif,"Joseph Addai, RB, IND"
9,101,Brad,"Jeremy Maclin, WR, PHI",,,,57,Leif,"Hines Ward, WR, PIT"
9,102,Vinny,"T.J. Houshmandzadeh, WR, SEA",,,,64,Leif,"Pierre Garcon, WR, IND"
9,103,Yurcy,"Visanthe Shiancoe, TE, MIN",,,,81,Leif,"Percy Harvin, WR, MIN"
9,104,Ryan,"Dez Bryant, WR, DAL",,,,88,Leif,"Robert Meachem, WR, NO"
9,105,Leif,"Fred Jackson, RB, BUF",,,,105,Leif,"Fred Jackson, RB, BUF"
9,106,Andy,"Kenny Britt, WR, TEN",,,,112,Leif,"Chris Cooley, TE, WAS"
9,107,Drew,"Ben Roethlisberger, QB, PIT",,,,129,Leif,"Dallas Cowboys, D, DAL"
9,108,Rob,"Baltimore Ravens, D, BAL",,,,136,Leif,"Ryan Longwell, K, MIN"
10,109,Rob,"Laurence Maroney, RB, NE",,,,153,Leif,"Anthony Gonzalez, WR, IND"
10,110,Drew,"Eddie Royal, WR, DEN",,,,160,Leif,"Mike Williams, WR, SEA"
10,111,Andy,"Philadelphia Eagles, D, PHI",,,,177,Leif,"Rashad Jennings, RB, JAC"
10,112,Leif,"Chris Cooley, TE, WAS",,,,184,Leif,"Keiland Williams, RB, WAS"
10,113,Ryan,"Chris Chambers, WR, KC",,,,3,Pete,"Maurice Jones-Drew, RB, JAC"
10,114,Yurcy,"Kellen Winslow, TE, TB",,,,22,Pete,"Roddy White, WR, ATL"
10,115,Vinny,"Zach Miller, TE, OAK",,,,27,Pete,"Calvin Johnson, WR, DET"
10,116,Brad,"Tim Hightower, RB, ARI",,,,46,Pete,"Philip Rivers, QB, SD"
10,117,Jeffro,"Braylon Edwards, WR, NYJ",,,,51,Pete,"Jerome Harrison, RB, CLE"
10,118,Pete,"Matt Stafford, QB, DET",,,,70,Pete,"Clinton Portis, RB, WAS"
10,119,Howe,"Steve Slaton, RB, HOU",,,,75,Pete,"Malcolm Floyd, WR, SD"
10,120,Eric,"Devin Aromashodu, WR, CHI",,,,94,Pete,"New York Jets, D, NYJ"
11,121,Eric,"Green Bay Packers, D, GB",,,,99,Pete,"Johnny Knox, WR, CHI"
11,122,Howe,"Chester Taylor, RB, CHI",,,,118,Pete,"Matt Stafford, QB, DET"
11,123,Pete,"Jacoby Jones, WR, HOU",,,,123,Pete,"Jacoby Jones, WR, HOU"
11,124,Jeffro,"Vince Young, QB, TEN",,,,142,Pete,"Kevin Smith, RB, DET"
11,125,Brad,"Mark Sanchez, QB, NYJ",,,,147,Pete,"Kareem Huggins, RB, TB"
11,126,Vinny,"San Francisco 49ers, D, SF",,,,166,Pete,"Rob Gronkowski, TE, NE"
11,127,Yurcy,"Mike Williams, WR, TB",,,,171,Pete,"David Buehler, K, DAL"
11,128,Ryan,"Minnesota Vikings, D, MIN",,,,190,Pete,"Dustin Keller, TE, NYJ"
11,129,Leif,"Dallas Cowboys, D, DAL",,,,12,Rob,"DeAngelo Williams, RB, CAR"
11,130,Andy,"Nate Kaeding, K, SD",,,,13,Rob,"Ryan Grant, RB, GB"
11,131,Drew,"Chicago Bears, D, CHI",,,,36,Rob,"DeSean Jackson, WR, PHI"
11,132,Rob,"Rob Bironas, K, TEN",,,,37,Rob,"Matt Schaub, QB, HOU"
12,133,Rob,"Laurent Robinson, WR, STL",,,,60,Rob,"Michael Crabtree, WR, SF"
12,134,Drew,"Santonio Holmes, WR, NYJ",,,,61,Rob,"Wes Welker, WR, NE"
12,135,Andy,"Chad Henne, QB, MIA",,,,84,Rob,"Owen Daniels, TE, HOU"
12,136,Leif,"Ryan Longwell, K, MIN",,,,85,Rob,"Santana Moss, WR, WAS"
12,137,Ryan,"Mason Crosby, K, GB",,,,108,Rob,"Baltimore Ravens, D, BAL"
12,138,Yurcy,"San Diego Chargers, D, SD",,,,109,Rob,"Laurence Maroney, RB, NE"
